original_index,display_index,text_path,audio_path,status
380,379,./35322 - Text/Chapter_0380_display_379.txt,./35322 - Audio/Chapter_0380_display_379.mp3,completed
381,380,./35322 - Text/Chapter_0381_display_380.txt,./35322 - Audio/Chapter_0381_display_380.mp3,completed
382,381,./35322 - Text/Chapter_0382_display_381.txt,./35322 - Audio/Chapter_0382_display_381.mp3,completed
383,382,./35322 - Text/Chapter_0383_display_382.txt,./35322 - Audio/Chapter_0383_display_382.mp3,completed
384,383,./35322 - Text/Chapter_0384_display_383.txt,./35322 - Audio/Chapter_0384_display_383.mp3,completed
385,384,./35322 - Text/Chapter_0385_display_384.txt,./35322 - Audio/Chapter_0385_display_384.mp3,completed
386,385,./35322 - Text/Chapter_0386_display_385.txt,./35322 - Audio/Chapter_0386_display_385.mp3,completed
387,386,./35322 - Text/Chapter_0387_display_386.txt,./35322 - Audio/Chapter_0387_display_386.mp3,completed
388,387,./35322 - Text/Chapter_0388_display_387.txt,./35322 - Audio/Chapter_0388_display_387.mp3,completed
389,388,./35322 - Text/Chapter_0389_display_388.txt,./35322 - Audio/Chapter_0389_display_388.mp3,completed
390,389,./35322 - Text/Chapter_0390_display_389.txt,./35322 - Audio/Chapter_0390_display_389.mp3,completed
391,390,./35322 - Text/Chapter_0391_display_390.txt,./35322 - Audio/Chapter_0391_display_390.mp3,completed
392,391,./35322 - Text/Chapter_0392_display_391.txt,./35322 - Audio/Chapter_0392_display_391.mp3,completed
393,392,./35322 - Text/Chapter_0393_display_392.txt,./35322 - Audio/Chapter_0393_display_392.mp3,completed
394,393,./35322 - Text/Chapter_0394_display_393.txt,./35322 - Audio/Chapter_0394_display_393.mp3,completed
395,394,./35322 - Text/Chapter_0395_display_394.txt,./35322 - Audio/Chapter_0395_display_394.mp3,completed
396,395,./35322 - Text/Chapter_0396_display_395.txt,./35322 - Audio/Chapter_0396_display_395.mp3,completed
397,396,./35322 - Text/Chapter_0397_display_396.txt,./35322 - Audio/Chapter_0397_display_396.mp3,completed
398,397,./35322 - Text/Chapter_0398_display_397.txt,./35322 - Audio/Chapter_0398_display_397.mp3,completed
399,398,./35322 - Text/Chapter_0399_display_398.txt,./35322 - Audio/Chapter_0399_display_398.mp3,completed
400,399,./35322 - Text/Chapter_0400_display_399.txt,./35322 - Audio/Chapter_0400_display_399.mp3,completed
401,400,./35322 - Text/Chapter_0401_display_400.txt,./35322 - Audio/Chapter_0401_display_400.mp3,completed
