original_index,display_index,text_path,audio_path,status
401,401,./38060 - Text/Chapter_0401_display_401.txt,./38060 - Audio/Chapter_0401_display_401.mp3,completed
402,402,./38060 - Text/Chapter_0402_display_402.txt,./38060 - Audio/Chapter_0402_display_402.mp3,completed
403,403,./38060 - Text/Chapter_0403_display_403.txt,./38060 - Audio/Chapter_0403_display_403.mp3,completed
404,404,./38060 - Text/Chapter_0404_display_404.txt,./38060 - Audio/Chapter_0404_display_404.mp3,completed
405,405,./38060 - Text/Chapter_0405_display_405.txt,./38060 - Audio/Chapter_0405_display_405.mp3,completed
406,406,./38060 - Text/Chapter_0406_display_406.txt,./38060 - Audio/Chapter_0406_display_406.mp3,completed
407,407,./38060 - Text/Chapter_0407_display_407.txt,./38060 - Audio/Chapter_0407_display_407.mp3,completed
408,408,./38060 - Text/Chapter_0408_display_408.txt,./38060 - Audio/Chapter_0408_display_408.mp3,completed
409,409,./38060 - Text/Chapter_0409_display_409.txt,./38060 - Audio/Chapter_0409_display_409.mp3,completed
410,410,./38060 - Text/Chapter_0410_display_410.txt,./38060 - Audio/Chapter_0410_display_410.mp3,completed
411,411,./38060 - Text/Chapter_0411_display_411.txt,./38060 - Audio/Chapter_0411_display_411.mp3,queued
412,412,./38060 - Text/Chapter_0412_display_412.txt,./38060 - Audio/Chapter_0412_display_412.mp3,queued
413,413,./38060 - Text/Chapter_0413_display_413.txt,./38060 - Audio/Chapter_0413_display_413.mp3,queued
414,414,./38060 - Text/Chapter_0414_display_414.txt,./38060 - Audio/Chapter_0414_display_414.mp3,queued
415,415,./38060 - Text/Chapter_0415_display_415.txt,./38060 - Audio/Chapter_0415_display_415.mp3,queued
416,416,./38060 - Text/Chapter_0416_display_416.txt,./38060 - Audio/Chapter_0416_display_416.mp3,queued
417,417,./38060 - Text/Chapter_0417_display_417.txt,./38060 - Audio/Chapter_0417_display_417.mp3,queued
418,418,./38060 - Text/Chapter_0418_display_418.txt,./38060 - Audio/Chapter_0418_display_418.mp3,queued
419,419,./38060 - Text/Chapter_0419_display_419.txt,./38060 - Audio/Chapter_0419_display_419.mp3,queued
420,420,./38060 - Text/Chapter_0420_display_420.txt,./38060 - Audio/Chapter_0420_display_420.mp3,queued
421,421,./38060 - Text/Chapter_0421_display_421.txt,./38060 - Audio/Chapter_0421_display_421.mp3,completed
