original_index,display_index,text_path,audio_path,status
201,198,./17299 - Text/Chapter_0201_display_198.txt,./17299 - Audio/Chapter_0201_display_198.mp3,queued
202,199,./17299 - Text/Chapter_0202_display_199.txt,./17299 - Audio/Chapter_0202_display_199.mp3,queued
203,200,./17299 - Text/Chapter_0203_display_200.txt,./17299 - Audio/Chapter_0203_display_200.mp3,queued
204,201,./17299 - Text/Chapter_0204_display_201.txt,./17299 - Audio/Chapter_0204_display_201.mp3,queued
205,202,./17299 - Text/Chapter_0205_display_202.txt,./17299 - Audio/Chapter_0205_display_202.mp3,queued
206,203,./17299 - Text/Chapter_0206_display_203.txt,./17299 - Audio/Chapter_0206_display_203.mp3,queued
207,204,./17299 - Text/Chapter_0207_display_204.txt,./17299 - Audio/Chapter_0207_display_204.mp3,queued
208,205,./17299 - Text/Chapter_0208_display_205.txt,./17299 - Audio/Chapter_0208_display_205.mp3,queued
209,206,./17299 - Text/Chapter_0209_display_206.txt,./17299 - Audio/Chapter_0209_display_206.mp3,queued
210,207,./17299 - Text/Chapter_0210_display_207.txt,./17299 - Audio/Chapter_0210_display_207.mp3,queued
211,208,./17299 - Text/Chapter_0211_display_208.txt,./17299 - Audio/Chapter_0211_display_208.mp3,queued
212,209,./17299 - Text/Chapter_0212_display_209.txt,./17299 - Audio/Chapter_0212_display_209.mp3,queued
213,210,./17299 - Text/Chapter_0213_display_210.txt,./17299 - Audio/Chapter_0213_display_210.mp3,queued
214,211,./17299 - Text/Chapter_0214_display_211.txt,./17299 - Audio/Chapter_0214_display_211.mp3,queued
215,212,./17299 - Text/Chapter_0215_display_212.txt,./17299 - Audio/Chapter_0215_display_212.mp3,queued
216,213,./17299 - Text/Chapter_0216_display_213.txt,./17299 - Audio/Chapter_0216_display_213.mp3,queued
217,214,./17299 - Text/Chapter_0217_display_214.txt,./17299 - Audio/Chapter_0217_display_214.mp3,queued
218,215,./17299 - Text/Chapter_0218_display_215.txt,./17299 - Audio/Chapter_0218_display_215.mp3,queued
219,216,./17299 - Text/Chapter_0219_display_216.txt,./17299 - Audio/Chapter_0219_display_216.mp3,queued
220,217,./17299 - Text/Chapter_0220_display_217.txt,./17299 - Audio/Chapter_0220_display_217.mp3,queued
221,218,./17299 - Text/Chapter_0221_display_218.txt,./17299 - Audio/Chapter_0221_display_218.mp3,queued
222,219,./17299 - Text/Chapter_0222_display_219.txt,./17299 - Audio/Chapter_0222_display_219.mp3,queued
